FrameworkNumber,Framework,title,Small_description,Description,Benefits
RM6100,Technology Services 3,Technology Services 3,All public sector customers can buy technology services ranging from strategy and design to operational deployment.,,
RM6102,Apprenticeship Training Dynamic Marketplace,Apprenticeship Training Dynamic Marketplace DPS,Provides access to an extensive range of apprenticeship training programmes that fully supports Education and Skills Funding Agency (ESFA) funding rules. These rules give departments and public sector bodies the freedom to choose who they contract with.,,
RM6116,Network Services 3,Network Services 3,"All UK public sector organisations can access network solutions, communication services, connectivity to cloud-based data and applications, audio and video conferencing, radio and satellite networking, and emerging technologies such as Internet of Things (IoT) and Smart Cities.",,
RM1557.14,G-Cloud 14,,,,
RM6120,Leasing and Loan Finance DPS,Leasing and Loan Finance DPS,"This DPS provides government and public sector bodies  access to funding for the acquisition of an asset. The DPS offers a choice of financing options, including leasing and asset secured loans.",,
RM6124,Communications Marketplace,Communications Marketplace,A Marketplace for marketing and communications services to help UK government and public sector bodies run public service campaigns.,,
RM6125,Campaign Solutions 2,Campaign Solutions 2,UK government and public sector bodies can access the services they need for end to end campaign solutions to support the running of their public service campaigns.,,
RM6123,Media Services,Media Services,"Central government and the wider public sector (WPS) can buy a world class communication service through the buying of advertising space, partnerships and out of home advertising (OOH), as well as services to audit the performance of their agencies and the opportunity to monetise their own advertising estate.",,
RM6126,Research & Insights,Research & Insights,"All public sector organisations can access social, economic and market research and behavioural insights services for projects of all sizes and values.",,
RM6138,Insurance Services 3 DPS,Insurance Services 3 DPS,A dynamic purchasing system (DPS) that provides access to a complete range of suppliers for the placement of insurance policies of all classes.,,
RM6141,Language Services,Language Services,"Language Services including translation, transcription, interpreting and a quality assurance service. Available to the whole of the public and third sector.",,
RM6142,"Supply of tyres, glass and fast fit solutions","Supply of tyres, glass and fast fit solutions","The entire public sector can access services to supply and fit tyres as well as repair and replace all glass on vehicles (such as windshield and windows). You can also access fast fit products and services including planned maintenance, MOTs, diagnostics and repairs.",,
RM3764.3,Cyber Security Services 3,Cyber Security Services 3,A flexible commercial agreement that offers an extensive range of cyber security services to help improve organisational cyber resilience and security posture.,,
RM6148,Quality Assurance and Testing for IT Systems 2,Quality Assurance and Testing for IT Systems 2,"Independent quality assurance testing (QAT), including testing environments, specialists, automation and services, such as consultancy.",,
RM1043.8,Digital Outcomes 6,,,,
RM6157,Building Materials and Equipment,Building Materials and Equipment,"UK government departments, devolved administrations and the wider public sector can access a range of building materials, equipment and associated services.",,
RM6163,Workforce Improvement Services,Workforce Improvement Services,"Customers can appoint a workforce partner to work with NHS trusts and other contracting authorities, to develop and improve workforce solutions.",,
RM6165,Construction Professional Services,Construction Professional Services,Central government and the wider public sector can access a wide range of technical advisory services in support of building and civil engineering projects of all scales and sizes.,,
RM6167,PSN Core Services,PSN Core Services,Buy Domain Name System (DNS) services that allow government users of the Public Services Network to send electronic information securely.,,
RM6168,Estate Management Services,Estate Management Services,"Gives public sector organisations access to a simplified means of sourcing end to end property management services, from consultancy to disposal.",,
RM6170,Print Management Services,Print Management Services,"Fully managed end to end print products and services, covering services such as bulk printing, direct mail and secure print.",,
RM6171,Courier and Specialist Movements,Courier and Specialist Movements,Gives all public sector customers access to a wide range of courier and specialist movements from simple parcel deliveries to complex and large scale specialist services.,,
RM6173,Automation Marketplace DPS,Automation Marketplace DPS,"Intelligent automation services and solutions, including automation technologies, services, consultancy and licences.",,
RM6174,"Multifunctional Devices (MFDs), Print and Digital Workflow Software Services and","Multifunctional Devices (MFDs), Print and Digital Workflow Software Services and Managed Print Service Provision","Provides access to multifunctional devices, managed print services, technical resources, digital workflow, cloud solutions for digital transition and print consultancy services.",,
RM6175,"Records Information Management, Digital Solutions and Associated Services","Records Information Management, Digital Solutions and Associated Services","Gives all public sector organisations access to storage, scanning, shredding and disposal services. Also provides support with NHS clinic preparation and transition to digital solutions through digital workflow and cloud.",,
RM6177,National Fuels 2,National Fuels 2,"Provides liquid and solid fuels such as heating oil and wood to all public sector customers. Also includes all products and services connected to using fuels, such as tank maintenance.",,
